aar	afar
abk	abkhaze
ace	aceh
ach	acoli
ada	adangme
ady	adyghé
afa	afro-asiatiques, langues
afh	afrihili
afr	afrikaans
ain	aïnou
aka	akan
akk	akkadien
alb	albanais
ale	aléoute
alg	algonquines, langues
alt	altai du Sud
amh	amharique
ang	anglo-saxon (ca.450-1100)
anp	angika
apa	apaches, langues
ara	arabe
arc	araméen d'empire (700-300 BCE)
arg	aragonais
arm	arménien
arn	"mapudungun; mapuche; mapuce"
arp	arapaho
art	artificielles, langues
arw	arawak
asm	assamais
ast	"asturien; bable; léonais; asturoléonais"
ath	athapascanes, langues
aus	australiennes, langues
ava	avar
ave	avestique
awa	awadhi
aym	aymara
aze	azéri
bad	banda, langues
bai	bamiléké, langues
bak	bachkir
bal	baloutchi
bam	bambara
ban	balinais
baq	basque
bas	basa
bat	baltes, langues
bej	bedja
bel	biélorusse
bem	bemba
ben	bengali
ber	berbères, langues
bho	bhojpuri
bih	langues biharis
bik	bikol
bin	"bini; edo"
bis	bichlamar
bla	blackfoot
bnt	bantoues, autres langues
bos	bosniaque
bra	braj
bre	breton
btk	batak, langues
bua	bouriate
bug	bugi
bul	bulgare
bur	birman
byn	"blin; bilen"
cad	caddo
cai	amérindiennes de L'Amérique centrale, langues
car	"karib; galibi; carib"
cat	"catalan; valencien"
cau	caucasiennes, langues
ceb	cebuano
cel	"celtiques, langues; celtes, langues"
cha	chamorro
chb	chibcha
che	tchétchène
chg	djaghataï
chi	chinois
chk	chuuk
chm	mari
chn	chinook, jargon
cho	choctaw
chp	chipewyan
chr	cherokee
chu	"slavon d'église; vieux slave; slavon liturgique; vieux bulgare"
chv	tchouvache
chy	cheyenne
cmc	chames, langues
cop	copte
cor	cornique
cos	corse
cpe	créoles et pidgins basés sur l'anglais
cpf	créoles et pidgins basés sur le français
cpp	créoles et pidgins basés sur le portugais
cre	cree
crh	tatar de Crimé
crp	créoles et pidgins
csb	kachoube
cus	couchitiques, langues
cze	tchèque
dak	dakota
dan	danois
dar	dargwa
day	dayak, langues
del	delaware
den	esclave (athapascan)
dgr	dogrib
din	dinka
div	maldivien
doi	dogri
dra	dravidiennes, langues
dsb	bas-sorabe
dua	douala
